           TokenType               Value
          ----------          ----------
          ProgramSym             program
          Identifier             example
           LeftParen                   (
          Identifier               input
               Comma                   ,
          Identifier              output
          RightParen                   )
           Semicolon                   ;
              VarSym                 var
          Identifier                   x
               Comma                   ,
          Identifier                   y
               Colon                   :
          IntegerSym             integer
           Semicolon                   ;
              VarSym                 var
          Identifier                test
              Assign                  :=
         QuoteString                jake
           Semicolon                   ;
        ProcedureSym           procedure
          Identifier                 gcd
           LeftParen                   (
          Identifier                   a
               Comma                   ,
          Identifier                   b
               Colon                   :
          IntegerSym             integer
          RightParen                   )
               Colon                   :
          IntegerSym             integer
           Semicolon                   ;
            BeginSym               begin
               IfSym                  if
          Identifier                   b
               Equal                   =
              Number                   0
             ThenSym                then
          Identifier                 gcd
              Assign                  :=
          Identifier                   a
             ElseSym                else
          Identifier                 gcd
              Assign                  :=
          Identifier                 gcd
           LeftParen                   (
          Identifier                   b
               Comma                   ,
          Identifier                   a
              ModSym                 mod
          Identifier                   b
          RightParen                   )
              EndSym                 end
           Semicolon                   ;
            BeginSym               begin
             ReadSym                read
           LeftParen                   (
          Identifier                   x
               Comma                   ,
          Identifier                   y
          RightParen                   )
           Semicolon                   ;
            WriteSym               write
           LeftParen                   (
          Identifier                 gcd
           LeftParen                   (
          Identifier                   x
               Comma                   ,
          Identifier                   y
          RightParen                   )
          RightParen                   )
              EndSym                 end
           Semicolon                   ;
              EOfSym                    
