           TokenType               Value
          ----------          ----------
          ProgramSym             program
          Identifier              MyTest
           LeftParen                   (
          Identifier               input
               Comma                   ,
          Identifier              output
          RightParen                   )
           Semicolon                   ;
              VarSym                 var
          Identifier                done
               Comma                   ,
          Identifier                   a
               Comma                   ,
          Identifier                   b
               Comma                   ,
          Identifier                   i
               Comma                   ,
          Identifier                   j
               Colon                   :
          IntegerSym             integer
           Semicolon                   ;
          Identifier             myArray
               Colon                   :
            ArraySym               array
         LeftBracket                   [
              Number                   0
        DoublePeriod                  ..
              Number                  10
        RightBracket                   ]
               OfSym                  of
          IntegerSym             integer
           Semicolon                   ;
        ProcedureSym           procedure
          Identifier                test
           LeftParen                   (
          RightParen                   )
           Semicolon                   ;
            BeginSym               begin
            WriteSym               write
           LeftParen                   (
              Number                   0
          RightParen                   )
           Semicolon                   ;
              EndSym                 end
            BeginSym               begin
          Identifier                   a
              Assign                  :=
           LeftParen                   (
              Number                   5
                Plus                   +
          Identifier                   a
          RightParen                   )
               Times                   *
          Identifier                   j
           Semicolon                   ;
          Identifier             myArray
         LeftBracket                   [
              Number                   5
        RightBracket                   ]
              Assign                  :=
              Number                  12
           Semicolon                   ;
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   0
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   0
          RightParen                   )
             ElseSym                else
            WriteSym               write
           LeftParen                   (
              Number                  99
          RightParen                   )
           Semicolon                   ;
            WhileSym               while
          Identifier                done
               Equal                   =
              Number                   0
               DoSym                  do
            BeginSym               begin
             ReadSym                read
           LeftParen                   (
          Identifier                   i
          RightParen                   )
           Semicolon                   ;
              EndSym                 end
              EndSym                 end
              EOfSym                    
Parse Complete!
Press Enter to continue
