           TokenType               Value
          ----------          ----------
          ProgramSym             program
          Identifier              MyTest
           LeftParen                   (
          Identifier               input
               Comma                   ,
          Identifier              output
          RightParen                   )
           Semicolon                   ;
              VarSym                 var
          Identifier                done
               Comma                   ,
          Identifier                   a
               Comma                   ,
          Identifier                   b
               Comma                   ,
          Identifier                   i
               Comma                   ,
          Identifier                   j
               Colon                   :
          IntegerSym             integer
           Semicolon                   ;
            BeginSym               begin
             ReadSym                read
           LeftParen                   (
          Identifier                   a
          RightParen                   )
           Semicolon                   ;
             ReadSym                read
           LeftParen                   (
          Identifier                   b
          RightParen                   )
           Semicolon                   ;
            WriteSym               write
           LeftParen                   (
          Identifier                   a
          RightParen                   )
           Semicolon                   ;
          Identifier                   i
              Assign                  :=
              Number                   0
           Semicolon                   ;
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   0
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   0
          RightParen                   )
             ElseSym                else
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   1
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   1
          RightParen                   )
             ElseSym                else
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   2
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   2
          RightParen                   )
             ElseSym                else
            WriteSym               write
           LeftParen                   (
              Number                  99
          RightParen                   )
           Semicolon                   ;
          Identifier                   i
              Assign                  :=
              Number                   1
           Semicolon                   ;
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   0
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   0
          RightParen                   )
             ElseSym                else
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   1
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   1
          RightParen                   )
             ElseSym                else
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   2
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   2
          RightParen                   )
             ThenSym                then
             ElseSym                else
            WriteSym               write
           LeftParen                   (
              Number                  99
          RightParen                   )
           Semicolon                   ;
          Identifier                   i
               Equal                   =
              Number                   2
           Semicolon                   ;
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   0
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   0
          RightParen                   )
             ElseSym                else
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   1
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   1
          RightParen                   )
             ElseSym                else
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   2
             ThenSym                then
            WriteSym               write
           LeftParen                   (
              Number                   2
          RightParen                   )
             ThenSym                then
             ElseSym                else
            WriteSym               write
           LeftParen                   (
              Number                  99
          RightParen                   )
           Semicolon                   ;
          Identifier                done
              Assign                  :=
              Number                   0
           Semicolon                   ;
            WhileSym               while
          Identifier                done
               Equal                   =
              Number                   0
               DoSym                  do
            BeginSym               begin
             ReadSym                read
           LeftParen                   (
          Identifier                   i
          RightParen                   )
           Semicolon                   ;
               IfSym                  if
          Identifier                   i
               Equal                   =
              Number                   0
             ThenSym                then
          Identifier                done
              Assign                  :=
              Number                   1
             ElseSym                else
            BeginSym               begin
            WriteSym               write
           LeftParen                   (
          Identifier                   i
          RightParen                   )
           Semicolon                   ;
          Identifier                   i
              Assign                  :=
          Identifier                 fib
           LeftParen                   (
          Identifier                   i
          RightParen                   )
           Semicolon                   ;
            WriteSym               write
           LeftParen                   (
          Identifier                   i
          RightParen                   )
              EndSym                 end
              EndSym                 end
          Identifier                jake
              Assign                  :=
              Number                  12
           Semicolon                   ;
          Identifier                  hi
              Assign                  :=
              Number                  12
                Plus                   +
          Identifier                jake
           Semicolon                   ;
          Identifier                 bye
              Assign                  :=
          Identifier                jake
               Times                   *
          Identifier                  hi
              EndSym                 end
              EOfSym                    
[Parser Error]: Expected Assign Statement but got = at line 26
[Parser Error]: Expected known variable but got fib at line 42
[Parser Error]: Invalid Type Operation for assignmentInvalid at line 42
[Parser Error]: Expected 'End' symbol but got ( at line 42
[Parser Error]: Expected 'End' symbol but got i at line 42
[Parser Error]: Expected 'End' symbol but got ) at line 42
Parsing Failed!
Press Enter to continue
